PIN,machine_code,machine_type
HAR3DXSSP02596084,B167,Backhoe
HAR3DXSSJ02596315,B219,Backhoe
HAR3DXSST02596018,B101,Backhoe
HAR3DXSSP02596019,B102,Backhoe
HAR3DXSSC02596020,B103,Backhoe
HAR3DXSST02596021,B104,Backhoe
HAR3DXSSP02596022,B105,Backhoe
HAR3DXSSK02596023,B106,Backhoe
HAR3DXSSJ02596024,B107,Backhoe
HAR3DXSSC02596025,B108,Backhoe
HAR3DXSSV02596026,B109,Backhoe
HAR3DXSSA02596027,B110,Backhoe
HAR3DXSSL02596028,B111,Backhoe
HAR3DXSSH02596029,B112,Backhoe
HAR3DXSSA02596030,B113,Backhoe
HAR3DXSSL02596031,B114,Backhoe
HAR3DXSSH02596032,B115,Backhoe
HAR3DXSSE02596033,B116,Backhoe
HAR3DXSSC02596034,B117,Backhoe
HAR3DXSST02596035,B118,Backhoe
HAR3DXSSP02596036,B119,Backhoe
HAR3DXSSK02596037,B120,Backhoe
HAR3DXSSJ02596038,B121,Backhoe
HAR3DXSSC02596039,B122,Backhoe
HAR3DXSSK02596040,B123,Backhoe
HAR3DXSSJ02596041,B124,Backhoe
HAR3DXSSC02596042,B125,Backhoe
HAR3DXSSV02596043,B126,Backhoe
HAR3DXSSA02596044,B127,Backhoe
HAR3DXSSL02596045,B128,Backhoe
HAR3DXSSH02596046,B129,Backhoe
HAR3DXSSE02596047,B130,Backhoe
HAR3DXSSC02596048,B131,Backhoe
HAR3DXSST02596049,B132,Backhoe
HAR3DXSSE02596050,B133,Backhoe
HAR3DXSSC02596051,B134,Backhoe
HAR3DXSST02596052,B135,Backhoe
HAR3DXSSP02596053,B136,Backhoe
HAR3DXSSK02596054,B137,Backhoe
HAR3DXSSJ02596055,B138,Backhoe
HAR3DXSSC02596056,B139,Backhoe
HAR3DXSSV02596057,B140,Backhoe
HAR3DXSSA02596058,B141,Backhoe
HAR3DXSSL02596059,B142,Backhoe
HAR3DXSSV02596060,B143,Backhoe
HAR3DXSSA02596061,B144,Backhoe
HAR3DXSSL02596062,B145,Backhoe
HAR3DXSSH02596063,B146,Backhoe
HAR3DXSSE02596064,B147,Backhoe
HAR3DXSSC02596065,B148,Backhoe
HAR3DXSST02596066,B149,Backhoe
HAR3DXSSP02596067,B150,Backhoe
HAR3DXSSK02596068,B151,Backhoe
HAR3DXSSJ02596069,B152,Backhoe
HAR3DXSSP02596070,B153,Backhoe
HAR3DXSSK02596071,B154,Backhoe
HAR3DXSSJ02596072,B155,Backhoe
HAR3DXSSC02596073,B156,Backhoe
HAR3DXSSV02596074,B157,Backhoe
HAR3DXSSA02596075,B158,Backhoe
HAR3DXSSL02596076,B159,Backhoe
HAR3DXSSH02596077,B160,Backhoe
HAR3DXSSE02596078,B161,Backhoe
HAR3DXSSC02596079,B162,Backhoe
HAR3DXSSH02596080,B163,Backhoe
HAR3DXSSE02596081,B164,Backhoe
HAR3DXSSC02596082,B165,Backhoe
HAR3DXSST02596083,B166,Backhoe
HAR3DXSSK02596085,B168,Backhoe
HAR3DXSSJ02596086,B169,Backhoe
HAR3DXSSC02596087,B170,Backhoe
HAR3DXSSV02596088,B171,Backhoe
HAR3DXSSA02596089,B172,Backhoe
HAR3DXSSC02596090,B173,Backhoe
HAR3DXSSV02596091,B174,Backhoe
HAR3DXSSA02596092,B175,Backhoe
HAR3DXSSL02596093,B176,Backhoe
HAR3DXSSH02596094,B177,Backhoe
HAR3DXSSE02596095,B178,Backhoe
HAR3DXSSC02596096,B179,Backhoe
HAR3DXSST02596097,B180,Backhoe
HAR3DXSSP02596098,B181,Backhoe
HAR3DXSSK02596099,B182,Backhoe
HAR3DXSSE02596100,B183,Backhoe
HAR3DXSSC02596101,B184,Backhoe
HAR3DXSSP02596103,B185,Backhoe
HAR3DXSSK02596104,B186,Backhoe
HAR3DXSSJ02596105,B187,Backhoe
HAR3DXSSV02596284,B188,Backhoe
HAR3DXSSA02596285,B189,Backhoe
HAR3DXSSL02596286,B190,Backhoe
HAR3DXSSH02596287,B191,Backhoe
HAR3DXSSE02596288,B192,Backhoe
HAR3DXSSC02596289,B193,Backhoe
HAR3DXSSH02596290,B194,Backhoe
HAR3DXSSE02596291,B195,Backhoe
HAR3DXSSC02596292,B196,Backhoe
HAR3DXSST02596293,B197,Backhoe
HAR3DXSSP02596294,B198,Backhoe
HAR3DXSSK02596295,B199,Backhoe
HAR3DXSSJ02596296,B200,Backhoe
HAR3DXSSC02596297,B201,Backhoe
HAR3DXSSV02596298,B202,Backhoe
HAR3DXSSA02596299,B203,Backhoe
HAR3DXSSK02596300,B204,Backhoe
HAR3DXSSJ02596301,B205,Backhoe
HAR3DXSSC02596302,B206,Backhoe
HAR3DXSSV02596303,B207,Backhoe
HAR3DXSSA02596304,B208,Backhoe
HAR3DXSSL02596305,B209,Backhoe
HAR3DXSSH02596306,B210,Backhoe
HAR3DXSSE02596307,B211,Backhoe
HAR3DXSSC02596308,B212,Backhoe
HAR3DXSST02596309,B213,Backhoe
HAR3DXSSE02596310,B214,Backhoe
HAR3DXSSC02596311,B215,Backhoe
HAR3DXSST02596312,B216,Backhoe
HAR3DXSSP02596313,B217,Backhoe
HAR3DXSSK02596314,B218,Backhoe
HAR3DXSSV02596608,B220,Backhoe
PUNJD20BKJ2240993,E801,Excavator
PUNJD20BTJ2241042,E802,Excavator
PUNJD20BJJ2241031,E803,Excavator
PUNJD20BLJ2241004,E804,Excavator
PUNJD20BAJ2241017,E805,Excavator
PUNJD20BAJ2241003,E806,Excavator
PUNJD20BPJ2241012,E807,Excavator
PUNJD20BCJ2241032,E808,Excavator
PUNJD20BCJ2240950,E809,Excavator
PUNJD20BHJ2240985,E810,Excavator
PUNJD20BTJ2240988,E811,Excavator
PUNJD20BLJ2240984,E812,Excavator
PUNJD20BAJ2240983,E813,Excavator
PUNJD20BCJ2240990,E814,Excavator
