state,district,taluka,village,structure_code,structure_name,structure_owner_department,structure_owner_department_sub_type,structure_type,village_population,Village population
Maharashtra,Akola,Patur,Adgaon Kh.,AK/PTR/Adgaon Kh./MIZP/NALA2,Adgaon Kh.Nala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Babhali,AK/PTR/Babhali/MIZP/NALA2,BabhaliNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Babhulgaon,AK/PTR/Babhulgaon/MIZP/NALA2,BabhulgaonNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Bhandaraj Kh.,AK/PTR/Bhandaraj Kh./MIZP/NALA2,Bhandaraj Kh.Nala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Bhanos,AK/PTR/Bhanos/MIZP/NALA2,BhanosNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Chikhalwal,AK/PTR/Chikhalwal/MIZP/NALA2,ChikhalwalNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Chinchkhed Sasti,AK/PTR/Chinchkhed Sasti/MIZP/NALA2,Chinchkhed SastiNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Digras Bk.,AK/PTR/Digras Bk./MIZP/NALA2,Digras Bk.Nala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Digras Kh.,AK/PTR/Digras Kh./MIZP/NALA2,Digras Kh.Nala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Gondhalwadi,AK/PTR/Gondhalwadi/MIZP/NALA2,GondhalwadiNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Hiwara,AK/PTR/Hiwara/MIZP/NALA2,HiwaraNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Kakadadari,AK/PTR/Kakadadari/MIZP/NALA2,KakadadariNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Khaparkheda,AK/PTR/Khaparkheda/MIZP/NALA1,KhaparkhedaNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Pacharan,AK/PTR/Pacharan/MIZP/NALA1,PacharanNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Patte A. Patur,AK/PTR/Patte A. Patur/MIZP/NALA2,Patte A. PaturNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Sotalwan,AK/PTR/Sotalwan/MIZP/NALA2,SotalwanNala,Minor Irrigation (ZP),,Nala,,
Maharashtra,Akola,Patur,Umara,AK/PTR/Umara/MIZP/NALA2,UmaraNala,Minor Irrigation (ZP),,Nala,,
